,Model,MSE,Size,Number,HiddenNodes,SE,r2,Performance,K,Thresh
1,Sedge,97.57173762,1,0,219,8.369713207,0.135788434,1,15,105.9414508
2,Sedge+VWC,61.8538201,2,0,146,5.215637059,0.45214887,1,15,67.06945715
3,PPFD_Avg+VWC+Sedge,55.66383644,3,0,109,6.09738213,0.50697474,-1,15,61.76121857
4,AirTC_Avg+VWC+Sedge,50.87227886,3,1,109,4.762398037,0.549414483,0,15,55.6346769
5,VPD+VWC+Sedge,53.56192517,3,2,109,3.898264251,0.525591771,0,15,57.46018942
6,wind_speed+VWC+Sedge,58.00165327,3,3,109,5.321215352,0.486268249,-1,15,63.32286862
7,Temp+VWC+Sedge,50.10184249,3,4,109,5.172952846,0.556238386,1,15,55.27479534
8,VWC+Sedge+Shrub,56.23483768,3,5,109,5.110001105,0.501917273,-1,15,61.34483878
9,VWC+Sedge+Grass,56.52645088,3,6,109,5.581123021,0.499334399,-1,15,62.1075739
10,VWC+Sedge+Out_of_Basin,55.05469252,3,7,109,5.313433629,0.512370045,0,15,60.36812615
11,PPFD_Avg+Temp+VWC+Sedge,44.80884892,4,0,87,4.878891279,0.603119444,1,15,49.68774019
12,AirTC_Avg+Temp+VWC+Sedge,45.03195247,4,1,87,5.446095383,0.601143373,0,15,50.47804785
13,VPD+Temp+VWC+Sedge,46.72505544,4,2,87,4.566427717,0.586147235,0,15,51.29148316
14,wind_speed+Temp+VWC+Sedge,45.96966817,4,3,87,4.901891528,0.592837845,0,15,50.87155969
15,Temp+VWC+Sedge+Shrub,44.92265358,4,4,87,5.985304621,0.602111454,0,15,50.9079582
16,Temp+VWC+Sedge+Grass,45.69944075,4,5,87,5.732166115,0.595231301,0,15,51.43160686
17,Temp+VWC+Sedge+Out_of_Basin,44.82052136,4,6,87,6.92229056,0.603016059,0,15,51.74281192
18,PPFD_Avg+AirTC_Avg+Temp+VWC+Sedge,40.62198513,5,0,73,4.583410919,0.640203298,0,15,45.20539605
19,PPFD_Avg+VPD+Temp+VWC+Sedge,42.71500066,5,1,73,6.154186343,0.621665059,0,15,48.86918701
20,PPFD_Avg+wind_speed+Temp+VWC+Sedge,38.25197072,5,2,73,4.559970984,0.66119497,1,15,42.8119417
21,PPFD_Avg+Temp+VWC+Sedge+Shrub,39.71579272,5,3,73,5.561874667,0.648229618,0,15,45.27766739
22,PPFD_Avg+Temp+VWC+Sedge+Grass,40.14428788,5,4,73,5.71473435,0.644434354,0,15,45.85902223
23,PPFD_Avg+Temp+VWC+Sedge+Out_of_Basin,41.36410406,5,5,73,5.868827907,0.633630208,0,15,47.23293197
24,PPFD_Avg+AirTC_Avg+wind_speed+Temp+VWC+Sedge,36.00552458,6,0,62,5.427590632,0.681092173,0,15,41.43311521
25,PPFD_Avg+VPD+wind_speed+Temp+VWC+Sedge,37.78243775,6,1,62,4.708778979,0.665353713,0,15,42.49121673
26,PPFD_Avg+wind_speed+Temp+VWC+Sedge+Shrub,35.10411672,6,2,62,4.919310411,0.689076115,1,15,40.02342713
27,PPFD_Avg+wind_speed+Temp+VWC+Sedge+Grass,35.12845668,6,3,62,5.422198128,0.688860532,0,15,40.55065481
28,PPFD_Avg+wind_speed+Temp+VWC+Sedge+Out_of_Basin,36.45804652,6,4,62,5.169282069,0.6770841,0,15,41.62732859
29,PPFD_Avg+AirTC_Avg+wind_speed+Temp+VWC+Sedge+Shrub,33.74206361,7,0,54,4.726727589,0.701140081,1,15,38.4687912
30,PPFD_Avg+VPD+wind_speed+Temp+VWC+Sedge+Shrub,34.19984104,7,1,54,5.44060252,0.697085458,0,15,39.64044356
31,PPFD_Avg+wind_speed+Temp+VWC+Sedge+Shrub+Grass,35.03005466,7,2,54,6.530806375,0.689732097,0,15,41.56086104
32,PPFD_Avg+wind_speed+Temp+VWC+Sedge+Shrub+Out_of_Basin,35.57477721,7,3,54,5.472830474,0.684907385,0,15,41.04760769
33,PPFD_Avg+AirTC_Avg+VPD+wind_speed+Temp+VWC+Sedge+Shrub,32.7437365,8,0,48,5.904853228,0.709982455,1,15,38.64858973
34,PPFD_Avg+AirTC_Avg+wind_speed+Temp+VWC+Sedge+Shrub+Grass,32.80749175,8,1,48,4.545175494,0.709417762,0,15,37.35266724
35,PPFD_Avg+AirTC_Avg+wind_speed+Temp+VWC+Sedge+Shrub+Out_of_Basin,33.39799011,8,2,48,5.915973756,0.704187605,0,15,39.31396386
36,PPFD_Avg+AirTC_Avg+VPD+wind_speed+Temp+VWC+Sedge+Shrub+Grass,32.69219471,9,0,43,6.116612078,0.71043897,1,15,38.80880679
37,PPFD_Avg+AirTC_Avg+VPD+wind_speed+Temp+VWC+Sedge+Shrub+Out_of_Basin,32.8599707,9,1,43,6.810695537,0.708952946,0,15,39.67066623
38,PPFD_Avg+AirTC_Avg+VPD+wind_speed+Temp+VWC+Sedge+Shrub+Grass+Out_of_Basin,33.13828728,10,0,39,6.722332616,0.706487843,0,15,39.8606199
